number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_learning_rate,params_momentum,params_optimizer,params_weight_decay,state
0,82.88,2025-10-07 21:58:29.243606,2025-10-07 22:12:50.903155,0 days 00:14:21.659549,32,0.4248435466776273,0.00031489116479568613,,AdamW,0.00025378155082656634,COMPLETE
1,61.2,2025-10-07 22:12:50.904575,2025-10-07 22:27:13.608480,0 days 00:14:22.703905,32,0.17473748411882514,1.2087541473056957e-05,,AdamW,5.34293726127978e-05,COMPLETE
2,76.69,2025-10-07 22:27:13.609772,2025-10-07 22:40:11.111983,0 days 00:12:57.502211,256,0.027870247631998635,0.0028016351587162596,,Adam,0.00023423849847112912,COMPLETE
3,76.52,2025-10-07 22:40:11.113182,2025-10-07 22:53:07.593581,0 days 00:12:56.480399,256,0.26409149624376077,0.0026926469100861782,,Adam,0.0005456725485601478,COMPLETE
4,63.62,2025-10-07 22:53:07.595277,2025-10-07 23:06:12.566935,0 days 00:13:04.971658,128,0.11091267331531622,3.077180271250687e-05,,Adam,0.0001537592023548175,COMPLETE
5,10.0,2025-10-07 23:06:12.568434,2025-10-07 23:08:55.259974,0 days 00:02:42.691540,64,0.1951981984579586,0.0755681014127443,,Adam,1.5167330688076198e-06,PRUNED
6,82.21,2025-10-07 23:08:55.260901,2025-10-07 23:22:23.473670,0 days 00:13:28.212769,64,0.5921321619603104,0.00035868164986275477,,AdamW,1.987021538542864e-06,COMPLETE
7,80.87,2025-10-07 23:22:23.475148,2025-10-07 23:35:23.083340,0 days 00:12:59.608192,128,0.06952143571507782,0.012273800987852962,0.9639896509163628,SGD,2.7155819552829413e-05,COMPLETE
8,58.75,2025-10-07 23:35:23.084640,2025-10-07 23:38:16.067909,0 days 00:02:52.983269,32,0.07175654756298101,0.0031130959561221226,,AdamW,7.742116473996245e-05,PRUNED
9,10.0,2025-10-07 23:38:16.069690,2025-10-07 23:40:53.667298,0 days 00:02:37.597608,128,0.01885751141204055,0.007128188058401363,,Adam,2.7012557725439094e-06,PRUNED
10,35.01,2025-10-07 23:40:53.669248,2025-10-07 23:43:42.940260,0 days 00:02:49.271012,32,0.44330791250007795,0.00017594678649531827,0.8073577879926248,SGD,0.0053599577657717935,PRUNED
11,65.18,2025-10-07 23:43:42.942408,2025-10-07 23:46:24.682334,0 days 00:02:41.739926,64,0.5972311337529876,0.00019085845063136823,,AdamW,8.433492996539151e-06,PRUNED
12,70.63,2025-10-07 23:46:24.683989,2025-10-07 23:49:33.618965,0 days 00:03:08.934976,64,0.4527879658634716,0.0002656836893415819,,AdamW,0.0016137610321187168,PRUNED
13,82.04,2025-10-07 23:49:33.620953,2025-10-08 00:03:52.772306,0 days 00:14:19.151353,32,0.5723234755527097,0.0005955252045297417,,AdamW,7.202554321357201e-06,COMPLETE
14,57.71,2025-10-08 00:03:52.773660,2025-10-08 00:06:37.504158,0 days 00:02:44.730498,64,0.43991804253378275,8.240441306224372e-05,,AdamW,0.0006377498741418543,PRUNED
15,82.83,2025-10-08 00:06:37.507651,2025-10-08 00:21:09.425855,0 days 00:14:31.918204,32,0.3563319081947368,0.0007185448642555379,,AdamW,1.5799248634520987e-05,COMPLETE
16,79.22,2025-10-08 00:21:09.427362,2025-10-08 00:29:16.199069,0 days 00:08:06.771707,32,0.32662575988334475,0.0009328253254568963,,AdamW,1.773943337541545e-05,PRUNED
17,25.37,2025-10-08 00:29:16.201203,2025-10-08 00:32:05.587101,0 days 00:02:49.385898,32,0.3624151294874267,5.088256064032824e-05,0.8530722951866959,SGD,0.009639798532690985,PRUNED
18,10.0,2025-10-08 00:32:05.588989,2025-10-08 00:34:58.040207,0 days 00:02:52.451218,32,0.5069007227177349,0.025791331406686473,,AdamW,0.0003071136831419328,PRUNED
19,71.83,2025-10-08 00:34:58.042354,2025-10-08 00:37:50.534857,0 days 00:02:52.492503,32,0.37960068972320005,0.0013945792946607704,,AdamW,0.0015302950565485823,PRUNED
20,30.54,2025-10-08 00:37:50.537766,2025-10-08 00:40:26.380794,0 days 00:02:35.843028,256,0.27345733132538497,7.821066773066058e-05,0.9861328349394335,SGD,4.656492842026576e-05,PRUNED
21,75.43,2025-10-08 00:40:26.383480,2025-10-08 00:44:28.959859,0 days 00:04:02.576379,64,0.5178489552150086,0.00037538469465152606,,AdamW,4.6998166421868244e-06,PRUNED
22,82.87,2025-10-08 00:44:28.961396,2025-10-08 00:57:53.981484,0 days 00:13:25.020088,64,0.39495427058476623,0.0006687058184685586,,AdamW,1.501076318498249e-05,COMPLETE
23,71.89,2025-10-08 00:57:53.983032,2025-10-08 01:00:46.604288,0 days 00:02:52.621256,32,0.37794863093324166,0.0013608746081167592,,AdamW,1.4548416777196468e-05,PRUNED
24,82.43,2025-10-08 01:00:46.605748,2025-10-08 01:15:04.422189,0 days 00:14:17.816441,32,0.3357868925031963,0.0005173611217095723,,AdamW,2.3527166166640625e-05,COMPLETE
25,66.95,2025-10-08 01:15:04.424858,2025-10-08 01:17:46.684518,0 days 00:02:42.259660,64,0.4011582932307284,0.00016409922818018188,,AdamW,9.713130607342792e-05,PRUNED
26,76.02,2025-10-08 01:17:46.686627,2025-10-08 01:21:43.460091,0 days 00:03:56.773464,128,0.49678989165619664,0.0010616843286133449,,AdamW,4.411363086798551e-06,PRUNED
27,10.0,2025-10-08 01:21:43.463212,2025-10-08 01:24:19.269327,0 days 00:02:35.806115,256,0.28716711545319157,0.00716846279161003,,AdamW,3.519788188332697e-05,PRUNED
28,67.17,2025-10-08 01:24:19.271562,2025-10-08 01:27:12.810728,0 days 00:02:53.539166,32,0.22538818052410825,0.00010969759394183548,,AdamW,8.731357862192098e-06,PRUNED
29,23.74,2025-10-08 01:27:12.813274,2025-10-08 01:30:02.888307,0 days 00:02:50.075033,32,0.42724193698383606,2.445765561952235e-05,0.9084270193227922,SGD,6.626867810246793e-05,PRUNED
